ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,PRI_PVEM_NVA_ALIANZA,PAN_PT,PRD_PT,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,60,NEZAHUALCOYOTL,680,1488,12423,83467,215361,8320,3785,5417,7632,30408,6890,11956,1448,0,0,0,0,0,0,0,0,0,0,0,633,387107,17152,404892,846370,0.4784
15,MEXICO,61,NICOLAS ROMERO,100,405,34042,,4927,,1557,5545,,10332,3135,3962,558,50467,0,0,0,0,0,0,0,0,0,0,97,114525,3655,118277,260530,0.454
15,MEXICO,62,NOPALTEPEC,5,12,2702,,46,,0,92,,33,41,0,0,2721,0,0,0,0,0,0,0,0,0,0,1,5635,73,5709,7030,0.8121
15,MEXICO,63,OCOYOACAC,22,69,1921,,3587,,1745,3909,,1080,1680,1676,671,7165,0,0,0,0,0,0,0,0,0,0,156,23434,813,24403,42966,0.568
15,MEXICO,64,OCUILAN,13,35,3295,,4792,,195,0,,872,265,0,0,4413,0,0,0,0,0,0,0,0,0,0,3,13832,342,14177,19126,0.7412
15,MEXICO,65,EL ORO,17,48,4435,5137,281,172,115,425,3674,725,134,0,42,0,0,0,0,0,0,0,0,0,0,0,4,15140,588,15732,24591,0.6397
15,MEXICO,66,OTUMBA,18,43,3105,,1277,,6052,0,,110,40,118,21,5261,0,0,0,0,0,0,0,0,0,0,11,15984,315,16310,24303,0.6711
15,MEXICO,67,OTZOLOAPAN,4,10,9,,1457,,2,0,,0,0,0,0,1822,0,0,0,0,0,0,0,0,0,0,0,3290,47,3337,3922,0.8508
15,MEXICO,68,OTZOLOTEPEC,24,82,9153,10640,1025,572,830,1710,468,2356,585,426,422,0,117,0,0,0,0,0,0,0,0,0,10,28304,867,29181,50540,0.5774
15,MEXICO,69,OZUMBA,13,30,3866,3486,196,109,141,697,247,1545,186,486,587,0,17,0,0,0,0,0,0,0,0,0,24,11563,287,11874,18236,0.6511
15,MEXICO,70,PAPALOTLA,2,6,911,,81,,333,79,,95,0,123,0,1111,0,0,0,0,0,0,0,0,0,0,2,2733,25,2760,3561,0.7751
15,MEXICO,71,LA PAZ,82,280,2822,,18224,,2808,2104,,8466,1423,2503,292,37675,0,0,0,0,0,0,0,0,0,0,78,76317,3058,79453,177081,0.4487
