CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,PT_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,649,2,4,23,4,0,466,0,3,189,4,3,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,770,20,792,1070
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,650,2,10,2,10,0,425,0,5,173,4,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,662,21,685,885
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,651,3,28,19,49,0,589,0,5,341,5,2,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1217,43,1274,1627
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,652,3,59,15,25,0,508,0,18,425,3,2,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1116,45,1167,1663
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,653,2,22,14,6,0,419,0,3,353,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,20,864,1069
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,654,2,16,8,10,0,459,0,10,269,9,8,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,818,29,848,1098
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,655,2,28,8,12,0,366,0,3,225,2,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,27,692,869
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,656,1,4,3,1,0,298,0,1,74,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,444,12,457,568
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,657,2,6,20,6,0,303,0,6,335,3,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,705,19,736,941
1,7,CHIAPAS,14,CINTALAPA,46,JIQUIPILAS,658,3,0,8,16,0,544,0,58,310,40,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1027,28,1070,1540
