CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,PCPP,PSI,MORENA,ES,PAN_PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA_PCPP,PAN_PT_NVA_ALIANZA_PSI,PAN_PT_PCPP_PSI,PAN_NVA_ALIANZA_PCPP_PSI,PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA,PAN_PT_PCPP,PAN_PT_PSI,PAN_NVA_ALIANZA_PCPP,PAN_NVA_ALIANZA_PSI,PAN_PCPP_PSI,PT_NVA_ALIANZA_PCPP,PT_NVA_ALIANZA_PSI,PT_PCPP_PSI,NVA_ALIANZA_PCPP_PSI,PAN_PT,PAN_NVA_ALIANZA,PAN_PCPP,PAN_PSI,PT_NVA_ALIANZA,PT_PCPP,PT_PSI,NVA_ALIANZA_PCPP,NVA_ALIANZA_PSI,PCPP_PSI,PRI_PVEM_ES,PRI_PVEM,PRI_ES,PVEM_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,187,TLAXCO,2298,2,118,323,3,8,20,3,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,497,15,512,769
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,194,VENUSTIANO CARRANZA,2333,3,233,328,14,46,6,22,4,3,126,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,9,1,0,0,0,1,0,3,11,0,0,7,0,821,19,840,1621
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,194,VENUSTIANO CARRANZA,2334,2,142,251,18,19,2,25,0,1,81,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,4,0,0,5,0,557,15,572,1055
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,194,VENUSTIANO CARRANZA,2335,2,210,210,21,19,10,27,2,0,75,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,4,0,0,0,0,0,2,4,0,0,2,0,594,22,616,1161
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,194,VENUSTIANO CARRANZA,2336,2,168,228,12,27,2,16,2,2,63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,13,0,0,3,2,543,8,551,1066
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,194,VENUSTIANO CARRANZA,2337,1,77,64,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,1,150,213
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,194,VENUSTIANO CARRANZA,2338,2,469,172,7,3,3,11,2,0,19,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,5,0,0,0,0,1,0,0,0,1,3,0,0,0,0,707,21,728,1067
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,194,VENUSTIANO CARRANZA,2339,2,260,65,6,2,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,344,6,350,515
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,194,VENUSTIANO CARRANZA,2340,2,250,88,9,3,1,6,0,1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,384,10,394,606
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,194,VENUSTIANO CARRANZA,2341,1,119,31,3,12,2,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,183,2,185,263
