id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PSN,PC,PAS,PRI-PVEM,Nulos,Total
13,10/11/2002,12,Ayuntamientos,13,0,1508,1,B,Basica,0,76,TULANCINGO DE BRAVO,671,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1508,77,111,0,78,47,3,0,2,0,11,329
13,10/11/2002,12,Ayuntamientos,13,0,1509,2,C,Contigua,0,76,TULANCINGO DE BRAVO,548,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1509,47,81,0,66,41,0,0,1,0,6,242
13,10/11/2002,12,Ayuntamientos,13,0,1510,1,B,Basica,0,76,TULANCINGO DE BRAVO,566,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1510,52,45,0,67,27,6,0,4,0,10,211
13,10/11/2002,12,Ayuntamientos,13,0,1510,1,C,Contigua,0,76,TULANCINGO DE BRAVO,566,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1510,48,57,0,61,15,2,0,0,0,15,198
13,10/11/2002,12,Ayuntamientos,13,0,1514,1,C,Contigua,0,76,TULANCINGO DE BRAVO,588,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1514,49,57,0,77,33,2,0,3,0,10,231
13,10/11/2002,12,Ayuntamientos,13,0,1525,2,C,Contigua,0,76,TULANCINGO DE BRAVO,616,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1525,64,57,0,60,21,1,0,0,0,12,215
13,10/11/2002,12,Ayuntamientos,13,0,1527,1,B,Basica,0,76,TULANCINGO DE BRAVO,432,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1527,31,54,0,58,20,1,0,3,0,9,176
13,10/11/2002,12,Ayuntamientos,13,0,1534,1,B,Basica,0,76,TULANCINGO DE BRAVO,734,AL,Anulada por el Tribunal Local,P,T,Urna tradicional,1534,0,0,0,0,0,0,0,0,0,0,0
13,10/11/2002,12,Ayuntamientos,13,0,1537,2,C,Contigua,0,76,TULANCINGO DE BRAVO,578,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1537,55,91,0,109,49,2,0,1,0,10,317
13,10/11/2002,12,Ayuntamientos,13,0,1538,2,C,Contigua,0,76,TULANCINGO DE BRAVO,553,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1538,40,65,0,93,35,1,0,0,0,8,242
13,10/11/2002,12,Ayuntamientos,13,0,1544,2,C,Contigua,0,76,TULANCINGO DE BRAVO,564,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1544,26,91,0,64,6,2,0,0,0,40,229
13,10/11/2002,12,Ayuntamientos,13,0,1547,1,B,Basica,0,76,TULANCINGO DE BRAVO,152,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1547,4,38,0,35,3,1,0,0,0,4,85
13,10/11/2002,12,Ayuntamientos,13,0,1548,1,C,Contigua,0,76,TULANCINGO DE BRAVO,522,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1548,48,90,0,46,32,4,0,0,0,16,236
13,10/11/2002,12,Ayuntamientos,13,0,289,1,B,Basica,0,16,CHAPANTONGO,717,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,289,35,220,126,0,0,0,0,0,0,20,401
13,10/11/2002,12,Ayuntamientos,13,0,292,1,C,Contigua,0,17,CHAPULHUACAN,559,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,292,16,127,206,6,0,0,0,0,0,10,365
13,10/11/2002,12,Ayuntamientos,13,0,301,1,B,Basica,0,17,CHAPULHUACAN,273,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,301,3,125,45,2,0,0,0,0,0,4,179
13,10/11/2002,12,Ayuntamientos,13,0,303,1,B,Basica,0,17,CHAPULHUACAN,249,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,303,6,75,62,1,0,0,0,0,0,0,144
13,10/11/2002,12,Ayuntamientos,13,0,308,1,B,Basica,0,17,CHAPULHUACAN,539,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,308,14,126,175,2,0,0,0,0,0,25,342
