ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,45,JALTENCO,14,33,2222,2745,284,166,461,237,331,6267,214,396,60,113,9,4,279,19,2,26,,13835,11,352,14198,19670,
15,MEXICO,46,JILOTEPEC,44,116,4034,8746,1235,936,5588,459,7865,15578,632,431,92,42,15,6,354,66,22,112,,46213,11,1688,47912,64903,
15,MEXICO,47,JILOTZINGO,10,25,2259,2212,384,155,1556,123,151,2574,138,1003,56,27,5,1,49,13,1,17,,10724,2,417,11143,14896,
15,MEXICO,48,JIQUIPILCO,30,90,1973,10934,665,3019,1959,648,855,9927,668,2031,138,18,24,12,778,261,28,82,,34020,13,1548,35581,51235,
15,MEXICO,49,JOCOTITLAN,29,86,6972,10764,668,889,556,460,550,11932,533,328,130,54,22,17,232,72,12,57,,34248,6,1236,35490,47187,
15,MEXICO,50,JOQUICINGO,5,17,377,1981,82,187,967,48,69,3263,62,484,6,0,3,0,32,13,0,7,,7581,9,184,7774,10087,
15,MEXICO,51,JUCHITEPEC,8,27,618,2781,138,189,202,470,163,7488,194,144,6,0,3,2,57,21,8,27,,12511,3,339,12853,17550,
15,MEXICO,52,LERMA,48,169,15966,20882,2311,1148,3813,965,1033,26536,1015,1003,310,255,31,7,609,128,19,164,,76195,15,1994,78204,105497,
15,MEXICO,53,MALINALCO,16,36,2205,4008,2829,286,257,189,242,3133,117,198,87,75,11,19,37,18,3,12,,13726,1,604,14331,19224,
15,MEXICO,54,MELCHOR OCAMPO,16,73,6184,5499,715,655,737,3050,572,13378,520,635,64,15,16,5,250,47,7,61,,32410,17,964,33391,49097,
15,MEXICO,55,METEPEC,86,281,29709,30061,2270,6398,4632,1952,2529,45717,2062,3130,423,111,56,25,1072,406,41,200,,130794,66,3482,134342,180279,
15,MEXICO,56,MEXICALTZINGO,4,14,450,1458,98,389,224,228,502,2149,114,594,3,1,2,2,23,7,1,7,,6252,0,174,6426,9479,
15,MEXICO,57,MORELOS,18,40,1061,5519,220,220,493,4168,243,3384,216,84,122,11,78,29,58,7,2,25,,15940,23,742,16705,21739,
15,MEXICO,58,NAUCALPAN,454,1159,121580,77347,8982,8548,12742,6067,7035,160962,9209,7006,2227,540,328,124,5191,1130,189,1021,,430228,337,13290,443855,686477,
15,MEXICO,59,NEXTLALPAN,10,41,1346,3526,416,337,764,364,587,8933,1448,574,34,9,3,2,107,27,2,44,,18523,7,562,19092,26750,
15,MEXICO,60,NEZAHUALCOYOTL,680,1511,34967,75528,142590,9878,15146,7172,8864,231832,8948,6330,2342,1342,161,412,5371,1450,239,1105,,553677,292,16679,570648,865265,
15,MEXICO,61,NICOLAS ROMERO,100,430,36986,32920,4547,4388,5679,2748,4998,76283,3368,4016,829,271,156,43,2315,561,81,495,,180684,171,5607,186462,284282,
15,MEXICO,62,NOPALTEPEC,5,13,1494,1465,137,647,601,90,42,1191,48,134,45,26,7,0,21,21,1,4,,5974,2,249,6225,7529,
15,MEXICO,63,OCOYOACAC,22,77,3075,11221,1326,551,1882,1446,385,11607,432,1441,92,24,9,6,210,48,5,59,,33819,16,999,34834,47899,
15,MEXICO,64,OCUILAN,13,38,1164,3985,2816,270,645,128,1192,4929,137,165,32,75,3,7,75,26,2,37,,15688,17,793,16498,20827,
15,MEXICO,65,EL ORO,17,53,3483,4694,329,310,316,303,2322,5042,237,562,72,16,16,12,74,15,5,24,,17832,3,728,18563,25978,
15,MEXICO,66,OTUMBA,18,46,2833,4318,641,312,420,168,711,6438,258,718,59,39,13,4,103,37,10,32,,17114,18,570,17702,26374,
15,MEXICO,67,OTZOLOAPAN,4,11,155,1296,56,1401,31,10,74,477,5,17,0,0,0,0,4,8,0,0,,3534,0,67,3601,4201,
15,MEXICO,68,OTZOLOTEPEC,24,87,3230,7059,1421,1093,1545,666,5100,14816,651,1355,79,41,26,22,311,91,12,92,,37610,5,1349,38964,55239,
15,MEXICO,69,OZUMBA,13,34,429,4028,400,307,623,157,993,6123,206,398,12,1,3,0,89,45,1,20,,13835,3,450,14288,19836,
