MUNICIPIO,SECION,CASILLA,PAN,PRI,PRD,PFCRN,PT,PVEM,VALIDA,No Registrados,Nulos,Total
GOMEZ PALACIO,449,B,98,64,72,1,2,0,237,0,5,242
GOMEZ PALACIO,450,B,128,56,91,0,5,2,282,10,3,295
GOMEZ PALACIO,451,C,127,103,94,0,5,7,336,1,4,341
GOMEZ PALACIO,452,C ,214,180,139,3,20,1,557,0,20,577
GOMEZ PALACIO,453,C,185,145,100,0,8,8,446,10,4,460
GOMEZ PALACIO,454,B,39,41,136,0,12,2,230,0,9,239
GOMEZ PALACIO,455,B,60,45,71,1,6,5,188,0,4,192
GOMEZ PALACIO,456,B,20,46,27,1,6,2,102,0,4,106
GOMEZ PALACIO,457,B,26,29,26,1,3,2,87,0,4,91
GOMEZ PALACIO,458,B,79,104,56,2,8,2,251,0,3,254
GOMEZ PALACIO,459,C,79,98,77,1,58,5,318,0,9,327
GOMEZ PALACIO,460,C,87,111,49,3,68,6,324,0,15,339
GOMEZ PALACIO,461,,103,98,77,3,11,4,296,0,7,303
GOMEZ PALACIO,462,,119,81,70,4,8,4,286,4,11,301
GOMEZ PALACIO,463,,87,94,64,3,10,7,265,0,0,265
GOMEZ PALACIO,464,,113,88,67,0,10,3,281,0,12,293
GOMEZ PALACIO,465,,47,48,18,0,1,3,117,0,1,118
GOMEZ PALACIO,466,,87,44,21,0,2,0,154,0,3,157
GOMEZ PALACIO,467,,138,111,58,0,10,8,325,0,9,334
GOMEZ PALACIO,468,,93,66,47,1,13,1,221,1,3,225
GOMEZ PALACIO,469,,79,63,58,2,9,2,213,0,3,216
GOMEZ PALACIO,470,,53,57,24,0,8,2,144,0,4,148
GOMEZ PALACIO,471,,88,83,42,0,9,2,224,0,4,228
GOMEZ PALACIO,472,,143,93,109,1,11,3,360,0,5,365
GOMEZ PALACIO,473,C,183,200,142,1,28,5,559,1,15,575
GOMEZ PALACIO,474,C,182,142,106,2,12,2,446,0,15,461
GOMEZ PALACIO,475,C,169,75,111,2,0,3,360,0,7,367
GOMEZ PALACIO,476,C,93,60,64,1,15,1,234,0,8,242
GOMEZ PALACIO,477,B,63,51,48,0,13,3,178,0,3,181
GOMEZ PALACIO,478,B,139,59,41,0,2,2,243,2,4,249
GOMEZ PALACIO,479,B,110,73,79,2,6,5,275,0,0,275
GOMEZ PALACIO,480,B,103,71,81,0,17,5,277,0,8,285
GOMEZ PALACIO,481,C,149,94,65,0,12,2,322,0,5,327
GOMEZ PALACIO,482,C,172,79,85,0,11,11,358,0,5,363
GOMEZ PALACIO,483,B,109,129,68,1,10,0,317,0,12,329
GOMEZ PALACIO,484,C,82,166,121,2,9,6,386,0,5,391
GOMEZ PALACIO,485,C,108,116,66,3,10,17,320,0,2,322
