"NÚMERO","SECCIÓN","CAS.","DIFERENCIA ENTRE 1° Y  2° LUGAR","PAN","PRI","PRD","PVEM","PT","MC","MORENA","RSPD","PAN-PRI-PRD","PAN 
PRI","PAN 
PRD","PRI 
PRD","PVEM-PT-RSPD-MOR","PVEM 
PT 
MOR","PVEM 
PT 
RSPD","PVEM 
RSPD 
MOR","PVEM 
PT","PVEM 
MOR","PVEM 
RSPD","PT 
RSPD 
MOR","PT 
MOR","PT 
RSPD","RSPD 
MOR","VA POR DURANGO","JUNTOS HACEMOS HISTORIA","CAND. 
NO REG.","VOTOS 
NULOS","...32","LISTA NOMINAL","...34","...35","...36","...37","municipality","...25","...27","...28","...29","...30","...31","...33","CAND.  
INDEP.","PVEM 
RSPD 
MOR...21","PVEM 
RSPD 
MOR...25","...38","PARTIDO ACCIÓN NACIONAL","PARTIDO REVOLUCIONARIO INSTITUCIONAL","PARTIDO VERDE ECOLOGISTA DE MÉXICO","PARTIDO DEL TRABAJO","CANDIDATURA NO REGISTRADA","VOTOS NULOS","...12","...14","...26","PVEM 
PT 
RSP","PVEM 
RSP 
MOR","PVEM 
RSPD 
MOR...20","PVEM 
RSPD 
MOR...24"
"28",1005,"C1",28,40,27,2,36,8,22,47,3,0,3,0,0,1,0,NA,NA,0,4,0,0,0,0,1,72,100,0,5,199,386,0.515544041450777,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"MUN 23",1005,"2",73,88,47,4,75,12,39,110,8,3,4,0,0,2,1,NA,NA,0,7,0,0,1,0,1,146,219,0,10,414,773,0.535575679172057,NA,219,146," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA
"29",1006,"B1",128,30,53,6,79,19,53,108,5,5,1,0,0,1,2,NA,NA,2,4,1,0,1,0,1,95,223,0,15,386,685,0.563503649635037,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"MUN 23",1006,"1",128,30,53,6,79,19,53,108,5,5,1,0,0,1,2,NA,NA,2,4,1,0,1,0,1,95,223,0,15,386,685,0.563503649635037,NA,223,95," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"30",1007,"B1",49,32,42,1,27,4,130,32,5,2,4,0,0,0,0,NA,NA,0,0,1,0,0,0,2,81,71,1,6,289,491,0.588594704684318,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"MUN 23",1007,"1",49,32,42,1,27,4,130,32,5,2,4,0,0,0,0,NA,NA,0,0,1,0,0,0,2,81,71,1,6,289,491,0.588594704684318,NA,130,81," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"31",1008,"B1",60,62,40,6,41,7,173,51,3,1,3,1,0,0,1,NA,NA,2,3,0,0,0,0,1,113,109,0,11,406,744,0.545698924731183,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"MUN 23",1008,"1",60,62,40,6,41,7,173,51,3,1,3,1,0,0,1,NA,NA,2,3,0,0,0,0,1,113,109,0,11,406,744,0.545698924731183,NA,173,113," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"32",1009,"B1",10,84,32,3,34,8,44,54,6,2,0,0,0,1,2,NA,NA,0,1,1,0,1,0,2,121,111,0,5,281,547,0.513711151736746,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
"MUN 23",1009,"1",10,84,32,3,34,8,44,54,6,2,0,0,0,1,2,NA,NA,0,1,1,0,1,0,2,121,111,0,5,281,547,0.513711151736746,NA,121,111," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
"33",1010,"B1",17,95,47,5,48,9,64,68,7,2,1,1,0,0,0,NA,NA,0,0,2,0,0,0,0,151,134,0,3,352,574,0.613240418118467,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"34",1010,"C1",10,99,41,6,42,12,46,74,5,2,4,0,0,2,1,NA,NA,1,3,0,0,2,0,0,152,142,0,14,354,573,0.617801047120419,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"MUN 23",1010,"2",27,194,88,11,90,21,110,142,12,4,5,1,0,2,1,NA,NA,1,3,2,0,2,0,0,303,276,0,17,706,1147,0.615518744551003,NA,303,276," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"35",1011,"B1",11,28,19,1,15,4,18,22,0,3,2,0,0,1,0,NA,NA,0,0,0,0,0,0,0,53,42,0,3,116,219,0.529680365296804,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"MUN 23",1011,"1",11,28,19,1,15,4,18,22,0,3,2,0,0,1,0,NA,NA,0,0,0,0,0,0,0,53,42,0,3,116,219,0.529680365296804,NA,53,42," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"36",1012,"B1",7,34,33,2,32,5,45,38,3,1,4,0,0,0,0,NA,NA,0,2,0,0,0,0,1,74,81,0,4,204,331,0.61631419939577,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"MUN 23",1012,"1",7,34,33,2,32,5,45,38,3,1,4,0,0,0,0,NA,NA,0,2,0,0,0,0,1,74,81,0,4,204,331,0.61631419939577,NA,81,74," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"37",1013,"B1",94,18,9,1,39,14,20,53,4,1,1,0,0,3,3,NA,NA,3,0,0,0,3,0,0,30,124,0,0,174,377,0.461538461538462,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA
"38",1013,"C1",80,19,12,1,25,15,14,63,6,0,2,0,0,0,2,NA,NA,0,0,1,0,2,0,0,34,114,0,4,166,376,0.441489361702128,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"MUN 23",1013,"2",174,37,21,2,64,29,34,116,10,1,3,0,0,3,5,NA,NA,3,0,1,0,5,0,0,64,238,0,4,340,753,0.451527224435591,NA,238,64," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA
"39",1014,"B1",64,27,22,2,32,17,38,64,3,3,1,0,0,1,0,NA,NA,1,0,0,0,1,0,0,55,119,0,5,217,468,0.463675213675214,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"40",1014,"C1",58,28,19,5,29,15,46,59,6,2,0,0,1,1,0,NA,NA,0,1,0,1,0,0,1,55,113,0,5,219,468,0.467948717948718,NA,NA,NA," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"MUN 23",1014,"2",122,55,41,7,61,32,84,123,9,5,1,0,1,2,0,NA,NA,1,1,0,1,1,0,1,110,232,0,10,436,936,0.465811965811966,NA,232,110," POANAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"1",1015,"B1",8,83,122,12,3,3,5,100,3,NA,NA,NA,NA,0,0,0,0,1,2,0,1,1,0,0,NA,114,0,18,NA,683,NA,NA,NA,NA," PUEBLO NUEVO",NA,354,NA,0.518301610541728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1015,"C1",41,63,118,10,2,5,9,144,7,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,159,0,4,NA,683,NA,NA,NA,NA," PUEBLO NUEVO",NA,363,NA,0.531478770131772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1015,"C2",19,96,106,16,1,2,5,108,11,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,1,NA,125,0,6,NA,682,NA,NA,NA,NA," PUEBLO NUEVO",NA,354,NA,0.519061583577713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1015,"S1",64,134,216,16,4,4,3,118,19,NA,NA,NA,NA,0,0,1,1,0,0,1,0,0,1,3,NA,152,0,16,NA,0,NA,NA,NA,NA," PUEBLO NUEVO",NA,537,NA,0.528543307086614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1015,"4",12,376,562,54,10,14,22,470,40,NA,NA,NA,NA,1,0,1,1,1,3,1,1,1,1,5,NA,550,0,44,550,2048,NA,NA,NA,NA," PUEBLO NUEVO",NA,1608,NA,0.78515625,NA,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1016,"B1",23,85,108,5,2,1,5,53,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,62,0,5,NA,571,NA,NA,NA,NA," PUEBLO NUEVO",NA,270,NA,0.472854640980736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1016,"C1",37,52,102,17,1,0,6,57,7,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,65,0,6,NA,571,NA,NA,NA,NA," PUEBLO NUEVO",NA,248,NA,0.434325744308231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1016,"2",73,137,210,22,3,1,11,110,13,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,127,0,11,137,1142,NA,NA,NA,NA," PUEBLO NUEVO",NA,518,NA,0.453590192644483,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1017,"B1",29,114,143,9,2,0,20,70,3,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,75,0,10,NA,657,NA,NA,NA,NA," PUEBLO NUEVO",NA,371,NA,0.56468797564688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1017,"C1",74,78,152,6,5,0,26,62,5,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,NA,74,0,12,NA,657,NA,NA,NA,NA," PUEBLO NUEVO",NA,348,NA,0.529680365296804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1017,"C2",65,87,152,13,3,4,12,65,3,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,75,0,15,NA,657,NA,NA,NA,NA," PUEBLO NUEVO",NA,354,NA,0.538812785388128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1017,"3",168,279,447,28,10,4,58,197,11,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,NA,224,0,37,279,1971,NA,NA,NA,NA," PUEBLO NUEVO",NA,1073,NA,0.54439370877727,NA,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1018,"B1",15,129,114,11,2,2,6,104,3,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,NA,114,0,4,NA,668,NA,NA,NA,NA," PUEBLO NUEVO",NA,378,NA,0.565868263473054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1018,"C1",7,140,133,5,3,0,11,101,5,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,4,NA,114,0,6,NA,667,NA,NA,NA,NA," PUEBLO NUEVO",NA,409,NA,0.613193403298351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1018,"2",22,269,247,16,5,2,17,205,8,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,1,5,NA,228,0,10,247,1335,NA,NA,NA,NA," PUEBLO NUEVO",NA,787,NA,0.589513108614232,NA,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1019,"B1",12,81,140,11,2,3,10,109,10,NA,NA,NA,NA,2,0,1,0,0,1,0,0,0,0,0,NA,128,1,13,NA,715,NA,NA,NA,NA," PUEBLO NUEVO",NA,384,NA,0.537062937062937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1019,"C1",19,82,146,11,3,3,11,108,9,NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,NA,127,0,8,NA,714,NA,NA,NA,NA," PUEBLO NUEVO",NA,385,NA,0.53921568627451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1019,"C2",27,80,133,10,1,1,11,97,5,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,NA,106,0,7,NA,714,NA,NA,NA,NA," PUEBLO NUEVO",NA,347,NA,0.485994397759104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1019,"3",58,243,419,32,6,7,32,314,24,NA,NA,NA,NA,7,0,1,0,0,1,0,0,1,0,0,NA,361,1,28,361,2143,NA,NA,NA,NA," PUEBLO NUEVO",NA,1116,NA,0.520765282314512,NA,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1020,"B1",40,103,170,16,3,4,4,115,5,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,1,NA,130,0,11,NA,750,NA,NA,NA,NA," PUEBLO NUEVO",NA,434,NA,0.578666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1020,"C1",33,129,162,4,3,3,7,109,2,NA,NA,NA,NA,0,0,0,0,0,2,0,0,0,0,1,NA,120,0,4,NA,750,NA,NA,NA,NA," PUEBLO NUEVO",NA,426,NA,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1020,"2",82,232,332,20,6,7,11,224,7,NA,NA,NA,NA,1,0,0,0,0,3,0,0,0,0,2,NA,250,0,15,250,1500,NA,NA,NA,NA," PUEBLO NUEVO",NA,860,NA,0.573333333333333,NA,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1021,"B1",28,101,129,10,3,3,7,77,4,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,0,2,NA,91,0,6,NA,618,NA,NA,NA,NA," PUEBLO NUEVO",NA,344,NA,0.55663430420712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1021,"C1",24,71,111,12,0,2,11,82,2,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,87,0,9,NA,618,NA,NA,NA,NA," PUEBLO NUEVO",NA,301,NA,0.48705501618123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1021,"C2",17,96,114,9,6,5,6,77,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,NA,97,0,3,NA,618,NA,NA,NA,NA," PUEBLO NUEVO",NA,325,NA,0.52588996763754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1021,"3",79,268,354,31,9,10,24,236,12,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,0,6,NA,275,0,18,275,1854,NA,NA,NA,NA," PUEBLO NUEVO",NA,970,NA,0.52319309600863,NA,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1022,"B1",35,59,116,6,0,1,7,69,9,NA,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,NA,81,0,6,NA,512,NA,NA,NA,NA," PUEBLO NUEVO",NA,275,NA,0.537109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1022,"C1",43,73,122,6,4,1,10,70,1,NA,NA,NA,NA,0,0,0,0,0,1,0,1,1,0,0,NA,79,0,4,NA,511,NA,NA,NA,NA," PUEBLO NUEVO",NA,294,NA,0.575342465753425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1022,"2",78,132,238,12,4,2,17,139,10,NA,NA,NA,NA,0,0,0,0,0,2,0,1,2,0,0,NA,160,0,10,160,1023,NA,NA,NA,NA," PUEBLO NUEVO",NA,569,NA,0.556207233626588,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1023,"B1",30,110,140,10,1,0,4,93,2,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,NA,97,0,12,NA,684,NA,NA,NA,NA," PUEBLO NUEVO",NA,373,NA,0.545321637426901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1023,"C1",30,85,103,10,3,5,6,115,5,NA,NA,NA,NA,0,2,0,0,0,0,0,0,0,0,3,NA,133,0,11,NA,684,NA,NA,NA,NA," PUEBLO NUEVO",NA,348,NA,0.508771929824561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1023,"C2",8,103,103,15,0,1,2,101,7,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,NA,111,1,4,NA,683,NA,NA,NA,NA," PUEBLO NUEVO",NA,339,NA,0.496339677891654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1023,"3",5,298,346,35,4,6,12,309,14,NA,NA,NA,NA,1,2,0,0,0,0,0,0,1,0,4,NA,341,1,27,341,2051,NA,NA,NA,NA," PUEBLO NUEVO",NA,1060,NA,0.516821062896148,NA,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1024,"B1",7,114,107,13,1,0,5,90,5,NA,NA,NA,NA,0,1,0,0,1,3,0,0,0,0,3,NA,104,0,3,NA,632,NA,NA,NA,NA," PUEBLO NUEVO",NA,346,NA,0.54746835443038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1024,"C1",1,109,99,8,1,2,8,95,9,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,2,NA,110,0,3,NA,631,NA,NA,NA,NA," PUEBLO NUEVO",NA,337,NA,0.534072900158479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1024,"C2",4,110,106,8,3,0,3,76,3,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,NA,83,0,6,NA,631,NA,NA,NA,NA," PUEBLO NUEVO",NA,316,NA,0.500792393026941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1024,"C3",10,100,114,6,2,2,1,90,5,NA,NA,NA,NA,0,0,0,1,0,0,0,0,2,0,2,NA,104,0,12,NA,631,NA,NA,NA,NA," PUEBLO NUEVO",NA,337,NA,0.534072900158479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1024,"C4",12,98,100,6,1,1,6,99,11,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,112,0,9,NA,631,NA,NA,NA,NA," PUEBLO NUEVO",NA,331,NA,0.524564183835182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1024,"5",5,531,526,41,8,5,23,450,33,NA,NA,NA,NA,0,1,0,1,1,3,0,1,2,1,7,NA,513,0,33,526,3156,NA,NA,NA,NA," PUEBLO NUEVO",NA,1667,NA,0.528200253485425,NA,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1025,"B1",34,13,83,0,2,0,2,104,8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,NA,117,0,2,NA,469,NA,NA,NA,NA," PUEBLO NUEVO",NA,217,NA,0.462686567164179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1025,"1",34,13,83,0,2,0,2,104,8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,NA,117,0,2,83,469,NA,NA,NA,NA," PUEBLO NUEVO",NA,217,NA,0.462686567164179,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1026,"B1",27,13,49,0,0,0,0,22,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,22,0,1,NA,145,NA,NA,NA,NA," PUEBLO NUEVO",NA,85,NA,0.586206896551724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1026,"1",27,13,49,0,0,0,0,22,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,22,0,1,22,145,NA,NA,NA,NA," PUEBLO NUEVO",NA,85,NA,0.586206896551724,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1027,"B1",43,124,167,17,2,5,4,39,3,NA,NA,NA,NA,0,2,0,0,0,0,0,0,3,1,0,NA,55,0,13,NA,685,NA,NA,NA,NA," PUEBLO NUEVO",NA,380,NA,0.554744525547445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1027,"1",43,124,167,17,2,5,4,39,3,NA,NA,NA,NA,0,2,0,0,0,0,0,0,3,1,0,NA,55,0,13,124,685,NA,NA,NA,NA," PUEBLO NUEVO",NA,380,NA,0.554744525547445,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1028,"B1",11,52,34,41,2,2,1,54,2,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,2,NA,63,0,4,NA,427,NA,NA,NA,NA," PUEBLO NUEVO",NA,195,NA,0.456674473067916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1028,"C1",33,86,39,19,4,0,8,43,2,NA,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,2,NA,53,0,6,NA,426,NA,NA,NA,NA," PUEBLO NUEVO",NA,211,NA,0.495305164319249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1028,"2",22,138,73,60,6,2,9,97,4,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,0,4,NA,116,0,10,116,853,NA,NA,NA,NA," PUEBLO NUEVO",NA,406,NA,0.475967174677608,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1029,"B1",51,25,94,1,1,4,1,33,5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,43,0,5,NA,425,NA,NA,NA,NA," PUEBLO NUEVO",NA,169,NA,0.397647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1029,"C1",50,35,98,8,3,0,5,42,2,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,48,0,4,NA,424,NA,NA,NA,NA," PUEBLO NUEVO",NA,198,NA,0.466981132075472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1029,"2",101,60,192,9,4,4,6,75,7,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,91,0,9,91,849,NA,NA,NA,NA," PUEBLO NUEVO",NA,367,NA,0.432273262661955,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1030,"B1",37,116,48,0,1,9,1,65,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,79,0,4,NA,498,NA,NA,NA,NA," PUEBLO NUEVO",NA,248,NA,0.497991967871486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 24",1030,"1",37,116,48,0,1,9,1,65,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,79,0,4,79,498,NA,NA,NA,NA," PUEBLO NUEVO",NA,248,NA,0.497991967871486,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1031,"B1",36,28,79,4,2,1,1,36,3,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,43,0,5,NA,368,NA,NA,NA,NA," PUEBLO NUEVO",NA,160,NA,0.434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
