CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,BRE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,137,2,223,169,24,2,1,26,11,21,10,0,0,0,487,14,501,817
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,138,1,166,106,20,5,1,33,5,3,10,0,0,1,350,14,364,654
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,139,1,118,77,19,7,2,56,2,4,6,1,0,0,292,9,301,555
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,140,1,97,56,20,3,6,22,5,3,4,0,0,1,217,10,227,504
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,141,2,166,84,26,19,4,33,6,6,3,1,0,1,349,21,370,769
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,142,2,164,161,47,17,2,32,13,24,19,1,0,1,481,17,498,1023
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,3,326,249,45,29,9,44,22,13,21,1,2,1,762,28,790,1715
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,144,2,285,178,52,40,3,42,13,10,16,1,1,2,643,18,661,1407
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,145,2,137,106,33,6,4,33,9,5,8,0,0,0,341,11,352,752
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,146,1,112,83,29,7,2,41,5,4,4,1,0,1,289,4,293,637
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,147,1,145,95,27,14,1,50,4,6,9,0,0,0,351,18,369,688
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,148,1,147,97,20,6,2,25,5,5,8,0,0,0,315,0,315,541
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,149,1,125,99,27,7,2,35,8,8,6,0,0,2,319,5,324,597
