CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,375,B,124,124,9,2,2,20,4,9,0,5,0,2,0,0,0,0,0,0,2,301,3,306,576,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,375,C01,95,139,5,2,2,25,3,19,0,1,2,5,0,0,0,0,0,0,0,298,4,302,576,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,375,C02,97,134,4,2,2,21,1,2,0,3,0,5,0,0,0,0,0,0,0,271,10,281,576,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,375,C03,100,125,4,1,1,25,5,7,0,3,0,4,0,0,0,0,0,0,0,275,11,286,575,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,376,B,115,122,5,3,2,21,5,5,0,3,2,0,1,0,0,0,0,0,1,284,12,297,563,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,376,C01,128,110,3,2,2,21,2,6,0,3,2,2,0,0,0,0,0,0,0,281,7,288,563,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,376,C02,116,150,4,3,0,16,2,3,0,2,0,2,0,0,0,0,0,0,0,298,4,302,563,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,376,C03,117,110,8,4,2,25,6,7,0,5,0,7,0,0,0,0,0,0,0,291,7,298,562,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,377,B,128,135,4,5,2,27,10,8,0,4,2,2,1,0,0,0,0,0,0,328,13,341,677,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,377,C01,123,159,5,5,3,14,2,9,0,1,1,2,0,0,0,0,0,0,0,324,9,333,677,Acta casilla,,,
1,26,SONORA,9,HERMOSILLO CENTRO,49,HERMOSILLO,378,B,154,162,3,3,1,16,2,13,0,4,2,7,3,0,0,0,0,0,0,370,14,384,687,Acta casilla,,,
1,26,SONORA,9,HERMOSILLO CENTRO,49,HERMOSILLO,378,C01,157,159,5,6,1,8,9,11,0,3,0,3,0,0,0,0,0,0,0,362,13,375,686,Acta casilla,,,
1,26,SONORA,9,HERMOSILLO CENTRO,49,HERMOSILLO,379,B,136,134,5,9,2,27,1,4,0,4,1,8,1,0,0,0,0,0,0,332,8,340,668,Grupo de Recuento,,,
1,26,SONORA,9,HERMOSILLO CENTRO,49,HERMOSILLO,379,C01,122,132,5,6,0,20,1,13,0,2,0,7,0,0,0,0,0,0,0,308,9,317,667,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,380,B,125,194,7,9,1,27,13,5,0,4,0,4,0,0,0,0,0,0,0,389,16,405,732,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,380,C01,133,191,3,6,4,37,10,9,0,2,1,4,0,0,0,0,0,0,0,400,21,421,732,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,381,B,102,126,3,5,5,16,3,3,0,5,0,4,4,0,0,0,0,0,0,276,11,287,573,Acta casilla,,,
