CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,143,B,154,93,18,9,32,19,22,10,10,7,2,0,376,7,383,618,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,143,C01,128,83,14,8,31,29,11,14,15,4,5,0,342,9,351,618,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,144,B,129,120,14,8,37,36,20,9,10,3,1,1,387,16,404,612,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,144,C01,140,79,16,8,45,36,11,19,3,6,6,0,369,13,382,612,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,144,C02,130,87,13,6,34,55,14,15,9,5,1,0,369,13,382,612,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,B,133,122,20,9,16,41,18,17,11,0,3,0,390,12,402,658,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,C01,133,116,12,11,21,42,17,27,7,0,2,1,388,11,400,658,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,C02,120,133,9,18,14,44,29,23,12,0,4,0,406,16,422,658,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,C03,112,136,14,10,17,42,10,18,11,0,3,1,373,9,383,658,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,C04,121,145,13,15,15,38,14,14,17,0,7,1,399,15,415,657,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,C05,126,108,19,7,23,34,26,15,13,0,2,0,373,10,383,657,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,C06,129,122,16,12,10,40,19,12,10,0,3,0,373,15,388,657,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,E01,138,128,10,13,14,46,20,16,7,0,1,1,393,17,411,640,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,E01C01,131,135,11,7,19,55,24,13,14,0,0,1,409,14,424,640,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,E01C02,126,126,17,8,17,64,14,16,17,0,1,0,406,15,421,640,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,E01C03,131,106,16,6,15,62,21,12,7,0,1,1,377,14,392,640,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,E01C04,129,108,23,5,17,66,24,21,13,0,3,0,409,18,427,640,Acta Casilla,,,
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,145,E01C05,125,120,18,12,25,55,22,12,11,0,0,0,400,19,419,639,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,146,B,151,106,7,12,16,31,6,15,3,3,0,0,350,13,363,702,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,146,C01,138,122,17,14,15,26,9,9,11,4,0,1,365,7,373,701,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,146,C02,124,98,10,13,10,30,17,11,9,8,0,0,330,11,341,701,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,146,C03,160,116,12,12,12,30,14,13,9,9,0,0,387,9,396,701,Acta Casilla,,,
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,146,C04,119,108,10,14,21,25,13,12,8,1,0,0,331,14,345,701,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,147,B,163,113,12,8,25,39,14,21,7,4,2,1,408,13,422,719,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,147,C01,167,108,16,8,24,35,19,14,10,3,7,0,411,16,427,718,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,147,C02,184,108,15,4,26,30,16,14,12,3,5,0,417,6,423,718,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,148,B,147,114,7,3,9,50,8,4,5,2,3,0,352,10,362,527,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,148,C01,129,115,12,3,13,41,10,7,7,3,7,0,347,5,352,526,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,148,C02,155,115,11,3,20,37,12,2,7,2,3,0,367,14,381,526,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,149,B,181,108,23,6,35,26,25,17,8,3,3,0,435,16,451,735,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,149,C01,168,147,13,10,32,27,24,11,11,3,5,0,451,9,460,734,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,150,B,152,103,8,10,30,22,13,2,9,2,5,0,356,9,365,584,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,150,C01,150,89,19,9,27,15,7,5,4,5,5,0,335,19,354,584,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,151,B,114,90,5,3,14,18,4,4,1,2,5,1,260,9,270,456,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,151,C01,113,74,10,5,10,19,15,8,3,9,5,0,271,11,282,455,Acta Casilla,,,
