CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2160,5,VILLA DE ALVAREZ,147,3,514,329,43,20,75,104,49,49,29,10,14,1,1236,35,1272,2155
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2161,5,VILLA DE ALVAREZ,148,3,431,344,30,9,42,128,30,13,19,7,13,0,1066,29,1095,1579
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2162,5,VILLA DE ALVAREZ,149,2,349,255,36,16,67,53,49,28,19,6,8,0,886,25,911,1469
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2163,5,VILLA DE ALVAREZ,150,2,302,192,27,19,57,37,20,7,13,7,10,0,691,28,719,1168
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2164,5,VILLA DE ALVAREZ,151,2,227,164,15,8,24,37,19,12,4,11,10,1,531,20,552,911
5,6,COLIMA,4,NO ESTABLECIDO ACUERDO 27/2165,5,VILLA DE ALVAREZ,152,5,796,606,52,91,75,139,62,67,29,30,0,0,1947,64,2011,3735
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2166,5,VILLA DE ALVAREZ,153,2,293,196,15,15,46,31,16,20,18,7,6,1,663,28,692,1183
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2167,5,VILLA DE ALVAREZ,154,2,246,138,28,8,30,32,12,6,13,7,5,0,525,21,546,1024
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2168,5,VILLA DE ALVAREZ,155,2,405,239,19,13,32,40,22,12,12,8,8,0,810,16,826,1366
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2169,5,VILLA DE ALVAREZ,156,2,200,149,17,5,19,20,6,14,7,5,11,1,453,11,465,809
