SECCION ,DF,DL,MUNICIPIO,PAN,PRI,ALIANZA,PT,PVEM,PCD,PARM,DS,VOTOS NULOS,TOTAL,PADRÓN,LISTANOMINAL
1010,6,3,MONTERREY,514,118,3,46,2,6,0,0,9,698,887,877
1011,6,3,MONTERREY,343,60,2,24,1,0,0,0,2,432,594,584
1012,6,5,MONTERREY,756,273,11,87,8,3,0,0,12,1150,1578,1566
1013,6,5,MONTERREY,623,169,9,61,0,1,0,0,12,875,1151,1143
1014,6,4,MONTERREY,532,442,8,98,3,6,0,0,22,1111,1628,1609
1015,6,4,MONTERREY,480,289,8,71,2,1,0,0,40,891,1502,1493
1016,6,4,MONTERREY,78,53,0,14,0,0,0,0,5,150,262,260
1017,6,5,MONTERREY,650,207,9,55,2,4,0,0,13,940,1263,1252
1018,6,5,MONTERREY,658,181,9,58,5,2,1,0,12,926,1258,1247
1019,7,5,MONTERREY,368,111,8,31,0,1,0,0,2,521,711,710
1020,7,5,MONTERREY,343,116,5,38,2,1,0,0,5,510,657,653
