Municipio,Seccion,Tipo Casilla,PAN,PRI_PVEM,PRD,PT_PC,PANAL,VALIDOS,NULOS,TOTAL,ListaNominal,
CALKINÍ,181,B,34,198,0,0,4,236,6,242,253,
CALKINÍ,181,E1,25,64,0,0,4,93,2,95,130,
CALKINÍ,182,B,51,85,0,1,0,137,1,138,154,
,,,,,,,,,,,,
CARMEN,183,B,131,139,36,17,13,336,25,361,640,
CARMEN,183,C1,131,147,34,14,9,335,15,350,640,
CARMEN,183,C2,149,137,40,14,4,344,25,369,639,
CARMEN,183,C3,130,138,42,12,8,330,27,357,639,
CARMEN,183,C4,151,129,35,13,9,337,22,359,639,
CARMEN,184,B,185,170,31,8,5,399,21,420,738,
CARMEN,184,C1,164,183,41,18,13,419,11,430,738,
CARMEN,184,C2,189,165,35,14,12,415,11,426,737,
CARMEN,184,C3,177,182,42,17,8,426,15,441,737,
CARMEN,184,C4,170,190,40,14,13,427,9,436,737,
CARMEN,185,B,93,140,33,12,6,284,19,303,613,
CARMEN,185,C1,101,147,21,15,12,296,26,322,613,
CARMEN,185,C2,98,142,22,7,5,274,19,293,613,
CARMEN,185,C3,126,119,26,10,8,289,23,312,613,
CARMEN,186,B,145,163,35,8,10,361,20,381,671,
CARMEN,186,C1,153,142,33,15,9,352,26,378,671,
CARMEN,187,B,104,132,30,0,14,280,10,290,522,
CARMEN,187,C1,89,129,29,11,9,267,30,297,521,
CARMEN,187,C2,97,114,22,13,8,254,20,274,521,
CARMEN,188,B,140,163,32,0,10,345,9,354,606,
CARMEN,188,C1,130,172,20,14,7,343,15,358,606,
CARMEN,188,C2,142,172,21,9,6,350,14,364,605,
CARMEN,189,B,159,170,26,17,12,384,30,414,732,
CARMEN,189,C1,167,174,37,17,18,413,26,439,732,
CARMEN,190,B,132,154,35,18,5,344,17,361,677,
CARMEN,190,C1,129,161,39,11,12,352,20,372,676,
