CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1163,2,218,93,5,15,2,254,10,10,13,32,1,,1,653,10,664,1172
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1164,2,181,104,9,11,3,255,6,10,13,24,0,,0,616,34,650,1215
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,3356,1,78,21,3,3,3,83,5,7,6,15,0,,2,224,2,228,403
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,570,1,114,64,6,10,1,162,6,7,8,15,2,,1,395,11,407,645
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,571,1,66,74,7,10,5,142,15,12,8,20,4,,1,363,17,381,605
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,572,2,94,80,10,20,9,179,14,10,15,15,1,,0,447,27,474,806
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,573,1,78,81,8,7,9,144,7,19,12,12,1,,0,378,10,388,687
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,574,1,61,84,7,7,10,169,16,15,7,13,1,,0,390,10,400,664
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,575,1,97,68,10,17,4,152,13,15,4,17,0,,0,397,12,409,668
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,576,1,57,78,8,5,17,143,12,11,16,11,3,,0,361,13,374,661
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,577,1,54,101,10,18,10,181,18,15,8,20,15,,0,450,16,466,758
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,578,2,83,183,7,19,6,225,12,27,16,16,12,,1,606,20,627,1042
