CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,3,XALOZTOC,54,EMILIANO ZAPATA,607,3,354,50,19,9,7,30,229,21,4,,888,,,,0,1611,49,1660,2064
4,29,TLAXCALA,3,XALOZTOC,54,EMILIANO ZAPATA,608,1,197,20,15,20,7,3,73,14,1,,241,,,,0,591,0,591,715
4,29,TLAXCALA,3,XALOZTOC,55,LAZARO CARDENAS,402,1,43,2,19,31,0,4,29,5,2,,68,,,,0,203,9,212,239
4,29,TLAXCALA,3,XALOZTOC,55,LAZARO CARDENAS,606,3,301,59,158,138,18,49,101,64,57,,485,,,,0,1430,82,1512,1860
4,29,TLAXCALA,4,APIZACO,3,APIZACO,12,2,122,124,16,,23,28,14,54,10,134,,29,32,,0,586,44,630,1177
4,29,TLAXCALA,4,APIZACO,3,APIZACO,13,3,205,199,42,,38,94,32,241,21,373,,76,58,,0,1379,59,1438,2191
4,29,TLAXCALA,4,APIZACO,3,APIZACO,14,6,385,482,45,,123,139,27,449,29,498,,101,74,,2,2354,117,2471,4158
4,29,TLAXCALA,4,APIZACO,3,APIZACO,15,3,143,167,31,,32,44,7,144,9,132,,36,36,,1,782,45,827,1515
4,29,TLAXCALA,4,APIZACO,3,APIZACO,16,3,198,127,19,,36,42,11,121,8,285,,37,41,,1,926,46,972,1623
4,29,TLAXCALA,4,APIZACO,3,APIZACO,17,2,114,189,25,,75,34,14,112,10,180,,23,40,,0,816,42,858,1395
4,29,TLAXCALA,4,APIZACO,3,APIZACO,18,2,120,138,39,,21,26,14,70,10,171,,28,20,,0,657,45,702,1157
4,29,TLAXCALA,4,APIZACO,3,APIZACO,19,2,166,160,42,,9,52,3,75,7,120,,14,28,,2,678,47,725,1173
4,29,TLAXCALA,4,APIZACO,3,APIZACO,20,2,94,117,14,,20,24,1,62,4,85,,12,37,,1,471,23,494,805
4,29,TLAXCALA,4,APIZACO,3,APIZACO,21,1,43,40,4,,6,25,2,40,2,59,,9,7,,0,237,11,248,392
4,29,TLAXCALA,4,APIZACO,3,APIZACO,22,2,161,136,23,,27,44,6,76,5,210,,35,45,,2,770,41,811,1396
4,29,TLAXCALA,4,APIZACO,3,APIZACO,23,1,65,111,15,,12,27,2,33,5,105,,11,26,,0,412,23,435,734
4,29,TLAXCALA,4,APIZACO,3,APIZACO,24,2,86,86,15,,11,54,9,78,5,101,,22,10,,0,477,27,504,905
4,29,TLAXCALA,4,APIZACO,3,APIZACO,25,2,123,165,21,,18,39,8,84,9,156,,27,37,,0,687,44,731,1289
4,29,TLAXCALA,4,APIZACO,3,APIZACO,26,2,125,146,19,,29,28,15,90,8,183,,31,41,,2,717,46,763,1393
4,29,TLAXCALA,4,APIZACO,3,APIZACO,27,3,197,251,30,,22,51,10,119,13,226,,36,43,,2,1000,48,1048,1913
4,29,TLAXCALA,4,APIZACO,3,APIZACO,28,4,179,200,23,,18,48,10,118,6,145,,27,36,,0,810,45,855,1507
4,29,TLAXCALA,4,APIZACO,3,APIZACO,29,3,187,223,8,,29,67,13,129,14,178,,33,33,,0,914,47,961,1627
4,29,TLAXCALA,4,APIZACO,3,APIZACO,30,8,473,574,51,,87,204,40,380,43,638,,136,147,,9,2782,145,2927,5466
4,29,TLAXCALA,4,APIZACO,3,APIZACO,31,4,333,287,18,,34,84,20,165,22,279,,66,79,,2,1389,76,1465,2806
4,29,TLAXCALA,4,APIZACO,3,APIZACO,32,3,145,326,10,,16,43,26,95,7,191,,36,27,,4,926,53,979,1766
4,29,TLAXCALA,4,APIZACO,3,APIZACO,33,3,166,231,21,,30,49,15,113,10,243,,36,48,,1,963,50,1013,1989
4,29,TLAXCALA,4,APIZACO,3,APIZACO,34,2,134,149,10,,25,57,12,116,12,203,,40,27,,0,785,45,830,1392
4,29,TLAXCALA,4,APIZACO,3,APIZACO,35,2,115,124,18,,15,42,17,77,7,139,,31,19,,0,604,31,635,1148
4,29,TLAXCALA,4,APIZACO,3,APIZACO,36,3,160,218,28,,24,83,46,107,28,261,,35,51,,1,1042,55,1097,1964
4,29,TLAXCALA,4,APIZACO,3,APIZACO,37,2,135,191,16,,11,63,18,118,11,134,,36,32,,0,765,21,786,1293
4,29,TLAXCALA,4,APIZACO,3,APIZACO,39,2,94,152,31,,4,137,8,25,5,299,,11,8,,0,774,29,803,1098
4,29,TLAXCALA,4,APIZACO,3,APIZACO,40,4,218,223,15,,34,511,18,110,43,321,,43,37,,0,1573,81,1654,2437
4,29,TLAXCALA,4,APIZACO,3,APIZACO,41,4,236,308,17,,26,493,16,134,47,428,,39,60,,2,1806,64,1870,2767
4,29,TLAXCALA,4,APIZACO,3,APIZACO,42,1,67,77,9,,3,30,3,30,4,81,,14,11,,1,330,21,351,570
4,29,TLAXCALA,4,APIZACO,3,APIZACO,43,5,231,372,35,,37,125,20,228,18,402,,63,151,,4,1686,106,1792,3155
4,29,TLAXCALA,4,APIZACO,3,APIZACO,44,3,164,211,16,,16,106,10,92,18,284,,39,117,,1,1074,87,1161,1837
4,29,TLAXCALA,4,APIZACO,3,APIZACO,45,1,27,74,2,,8,30,9,24,4,48,,10,8,,2,246,3,249,398
4,29,TLAXCALA,4,APIZACO,3,APIZACO,46,3,138,239,75,,13,154,7,108,19,209,,28,32,,1,1023,43,1066,1717
4,29,TLAXCALA,4,APIZACO,3,APIZACO,47,4,245,334,27,,25,136,10,189,16,323,,30,42,,3,1380,62,1442,2578
4,29,TLAXCALA,4,APIZACO,3,APIZACO,48,1,34,66,8,,11,18,5,17,4,36,,6,17,,0,222,10,232,363
4,29,TLAXCALA,5,YAUHQUEMEHCAN,3,APIZACO,38,2,353,33,9,,20,25,3,27,4,152,,,,,3,629,24,653,882
