CASILLAS,CASILLAS_NUM,CASILLAS_TIPO,DISTRITO,MUNICIPIO,LISTA NOMINAL,P.A.N,P.R.I.,P.R.D.,P.C.,P.T.,P.V.E.M.,P.P.S.,P.D.M.,NO REG.,NULOS,TOTAL
88,1,B,2,COLIMA,431,33,76,171,1,,,,,,15,296
88,2,C,2,COLIMA,432,21,95,152,1,,,,,,16,285
89,1,B,2,COLIMA,666,35,129,205,,1,,1,,,25,396
90,1,B,2,COLIMA,370,9,99,130,1,,1,1,,,15,256
91,1,B,2,COLIMA,318,8,97,71,,,,,,,12,188
91,4,E,2,COLIMA,111,4,32,22,0,0,0,0,0,0,11,69
,,,,,,,,,,,,,,,,
92,1,B,6,COMALA,565,232,86,52,5,1,0,2,11,0,24,413
92,2,C,6,COMALA,565,233,69,54,14,1,0,0,9,2,8,390
93,1,B,6,COMALA,578,251,97,62,0,0,0,0,11,0,16,437
93,2,C,6,COMALA,578,223,111,65,3,1,1,0,12,0,18,434
94,1,B,6,COMALA,601,260,87,49,0,0,0,0,29,0,18,443
94,2,C,6,COMALA,602,253,108,49,1,1,0,0,27,0,16,455
95,1,B,6,COMALA,540,256,109,31,2,0,0,0,7,0,9,414
95,2,C,6,COMALA,540,255,78,37,2,0,0,0,9,0,9,390
96,1,B,6,COMALA,546,212,122,60,3,1,0,0,5,0,15,418
96,2,C,6,COMALA,546,196,121,66,3,1,0,0,11,0,4,402
97,1,B,6,COMALA,283,33,89,48,1,0,0,0,1,0,15,187
97,4,E,6,COMALA,108,38,21,19,2,0,1,0,2,0,0,83
98,1,B,6,COMALA,103,36,27,2,0,0,1,0,1,0,7,74
99,1,B,6,COMALA,485,100,167,27,1,0,0,1,4,8,0,308
100,1,B,6,COMALA,726,97,216,141,8,1,2,1,4,0,31,501
100,4,E,6,COMALA,156,48,21,13,0,0,0,0,21,0,2,105
101,1,B,6,COMALA,449,46,172,33,6,1,0,0,25,0,6,289
101,2,C,6,COMALA,449,46,162,44,6,0,2,1,33,0,11,305
101,4,E1,6,COMALA,45,3,13,7,,,,,,,2,25
101,9,E2,6,COMALA,75,10,16,16,1,,,,1,,5,49
102,1,B,6,COMALA,445,211,65,15,10,1,0,0,1,0,9,312
103,1,B,6,COMALA,490,65,205,59,6,1,1,1,0,0,6,344
103,2,C,6,COMALA,490,66,165,93,4,2,2,1,4,0,0,337
104,1,B,6,COMALA,491,75,131,89,8,4,0,0,1,0,12,320
104,2,C,6,COMALA,491,101,104,95,0,0,0,0,0,0,14,314
,,,,,,,,,,,,,,,,
105,1,B,5,COQUIMATLAN,401,147,130,5,1,3,2,1,1,0,5,295
105,2,C,5,COQUIMATLAN,401,155,105,11,2,1,1,0,1,0,6,282
106,1,B,5,COQUIMATLAN,587,294,110,12,1,2,1,0,4,0,5,429
106,2,C,5,COQUIMATLAN,588,279,147,18,1,5,1,0,1,0,3,455
107,1,B,5,COQUIMATLAN,549,268,119,10,2,4,0,0,1,0,6,410
107,2,C,5,COQUIMATLAN,550,269,123,6,0,7,3,0,1,0,4,413
108,1,B,5,COQUIMATLAN,423,210,97,5,1,0,0,0,4,0,9,326
108,2,C,5,COQUIMATLAN,424,200,87,6,0,2,0,0,2,0,4,301
109,1,B,5,COQUIMATLAN,457,201,159,5,2,1,0,0,0,0,5,373
109,2,C,5,COQUIMATLAN,457,219,110,1,3,0,0,0,0,0,5,338
110,1,B,5,COQUIMATLAN,417,192,99,2,5,2,0,0,1,0,8,309
110,2,C,5,COQUIMATLAN,418,199,108,4,8,1,0,0,0,0,5,325
