CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRI_PVEM,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,PH,ES,BS,FACA,JLCM,JRM,ISRM,MARM,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,449,1,130,52,,11,11,6,25,14,17,,,,,,,0,2,0,0,1,269,11,280,573
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,450,1,88,55,,24,7,11,25,13,5,,,,,,,3,1,0,0,1,233,5,238,573
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,451,2,134,54,,13,8,2,26,17,15,,,,,,,0,1,1,0,1,272,10,282,755
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,452,2,124,52,,27,10,8,18,45,13,,,,,,,3,2,2,0,0,304,12,316,759
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,453,1,107,52,,26,5,5,16,13,6,,,,,,,0,2,0,0,0,232,13,245,637
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,454,1,122,57,,13,9,4,39,13,7,,,,,,,0,1,0,0,0,265,4,269,532
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,455,1,96,49,,18,9,5,20,15,13,,,,,,,3,1,0,0,0,229,8,237,578
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,456,1,43,22,,16,6,15,22,9,7,,,,,,,2,1,0,0,0,143,6,149,319
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,457,1,96,55,,13,6,5,18,22,8,,,,,,,3,8,0,0,0,234,5,239,522
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,458,1,140,65,,22,7,6,17,25,28,,,,,,,0,0,0,0,0,310,7,317,742
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,459,1,97,67,,16,6,6,29,24,14,,,,,,,1,2,0,0,1,263,6,269,699
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,460,1,120,58,,37,0,10,34,28,20,,,,,,,1,1,1,0,0,310,11,321,569
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,461,1,112,50,,20,4,4,21,31,18,,,,,,,0,1,0,0,0,261,8,269,493
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,462,1,115,40,,23,2,12,24,29,19,,,,,,,4,1,0,0,0,269,11,280,566
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,463,1,122,52,,13,5,6,23,36,16,,,,,,,3,0,0,0,0,276,10,286,546
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,464,1,178,40,,21,5,8,21,29,13,,,,,,,2,2,0,0,2,321,8,329,719
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,465,2,183,89,,34,5,8,30,48,22,,,,,,,3,0,0,0,2,424,14,438,814
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,466,1,134,44,,16,5,5,24,22,22,,,,,,,0,3,1,0,0,276,9,285,697
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,467,1,132,49,,18,7,9,30,21,13,,,,,,,0,3,1,0,0,283,7,290,711
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,468,1,139,41,,27,5,15,30,20,13,,,,,,,5,5,1,0,0,301,7,308,718
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,469,1,112,60,,27,10,4,21,16,10,,,,,,,3,0,0,1,0,264,8,272,684
