CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,291,C01,101,82,9,10,15,1,2,8,11,3,4,8,0,1,255,11,266,548,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,292,B,104,92,8,9,10,3,3,8,3,2,4,11,1,0,258,4,262,575,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,292,C01,128,69,9,4,17,7,5,12,4,2,2,7,0,0,266,7,273,574,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,12,CIUDAD VALLES,292,S01,57,49,7,13,9,2,1,5,10,0,3,3,0,1,160,5,165,750,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,293,B,117,58,9,8,23,5,4,8,5,3,1,8,0,0,249,9,258,597,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,293,C01,156,69,13,9,11,4,2,12,11,0,3,6,1,0,297,6,303,597,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,294,B,123,138,11,15,11,7,4,13,9,8,3,8,0,0,350,6,356,649,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,294,C01,124,153,4,17,18,6,0,19,6,1,8,9,1,0,366,8,374,648,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,295,B,83,95,4,8,10,0,4,3,9,3,3,14,0,0,236,0,236,566,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,295,C01,93,103,8,3,13,3,0,10,1,4,4,5,0,0,247,6,253,565,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,296,B,108,60,5,6,5,1,1,4,8,1,3,3,1,1,207,5,212,403,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,296,C01,97,55,5,7,9,1,1,3,3,1,2,6,0,2,192,7,199,402,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,297,B,117,68,8,9,11,2,3,18,5,4,3,5,0,0,253,9,262,580,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,297,C01,124,60,9,5,13,5,0,11,5,1,7,6,0,0,246,9,255,580,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,297,C02,113,61,12,3,10,7,0,15,8,2,5,13,1,0,250,5,255,580,,,,
