Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
77,B1,161,18,9,1,1,11,68,28,18,2,22,7,13,12,0,0,0,2,1,1,0,0,0,4,3,1,0,0,0,3,4,1,0,2,0,0,12,405,704
77,C1,187,16,11,6,4,6,68,19,27,0,26,14,14,8,0,3,0,3,0,0,0,0,0,2,4,1,0,0,0,0,2,0,0,0,0,0,11,432,703
77,C2,189,14,5,3,0,6,50,8,36,0,12,5,18,9,0,0,0,9,2,2,1,0,1,1,3,2,0,0,0,1,1,0,0,0,0,0,18,396,703
78,B1,65,10,2,12,0,2,23,3,14,1,7,1,0,2,7,2,0,4,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,5,165,238
79,B1,54,6,4,8,1,2,70,9,22,29,16,7,3,4,2,0,0,0,0,0,0,0,0,2,8,2,1,0,0,1,2,2,0,1,0,0,9,265,471
79,C1,49,6,3,8,3,6,84,22,9,14,22,3,3,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,1,1,1,0,0,7,249,470
80,B1,144,19,13,1,1,7,82,7,15,19,17,10,0,13,0,0,0,2,4,0,0,0,0,3,5,3,2,0,0,0,2,0,1,0,0,0,14,384,627
80,C1,160,14,11,2,2,4,95,9,18,27,9,10,7,3,1,0,0,1,1,2,1,0,0,6,6,1,1,0,1,0,2,2,1,0,0,0,9,406,627
80,E1,64,7,14,4,0,1,75,37,20,21,1,4,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,22,294,467
81,B1,31,2,16,3,2,6,98,4,22,2,7,10,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,212,333
82,B1,55,17,4,7,3,0,66,30,16,4,0,5,5,0,1,0,0,2,0,1,0,0,0,0,8,0,1,1,0,3,2,1,1,0,0,0,7,240,385
83,B1,101,23,7,2,2,6,106,16,19,2,9,1,13,5,0,0,0,1,1,0,0,0,0,2,6,0,0,1,0,1,1,1,0,0,1,0,15,342,544
83,C1,89,18,9,5,2,9,102,7,30,0,16,5,6,4,2,0,0,7,0,0,0,0,0,2,10,0,1,0,0,2,0,5,0,0,0,0,14,345,544
84,B1,52,29,15,6,2,4,101,7,25,4,16,3,6,4,0,0,0,5,2,0,0,0,0,1,6,0,0,1,1,1,1,0,1,0,0,0,12,305,502
84,C1,70,25,19,4,2,5,81,16,24,4,15,0,14,3,0,1,0,3,1,0,0,0,0,1,4,2,0,0,0,5,1,0,0,0,0,0,10,310,502
84,C2,71,16,11,2,0,4,87,12,45,7,11,3,9,6,1,0,0,3,1,0,0,0,0,1,11,2,0,0,0,0,3,0,1,0,0,0,15,322,502
85,B1,115,12,3,8,1,11,129,35,19,2,22,32,8,1,1,0,2,3,0,0,0,0,1,2,11,3,0,1,0,2,0,0,1,0,0,0,12,437,704
958,B1,67,8,0,5,1,9,67,19,9,1,47,4,3,8,0,0,0,1,1,0,0,0,0,9,0,0,0,5,0,1,1,0,1,0,0,0,8,275,582
958,C1,53,7,6,11,1,6,89,25,21,4,55,3,5,2,0,0,0,2,0,0,0,0,0,6,8,0,0,0,0,1,0,0,0,0,0,0,8,313,582
958,C2,60,2,8,10,2,6,59,20,16,1,45,3,4,4,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,5,3,0,2,0,0,0,16,279,582
958,C3,50,7,3,8,2,9,74,17,9,3,7,2,9,2,0,0,0,4,2,1,0,0,0,10,0,1,5,0,0,2,1,1,0,1,0,0,15,245,581
959,B1,59,17,4,3,0,5,50,21,3,4,23,3,5,1,0,0,0,0,2,0,0,1,0,3,1,0,3,0,0,2,0,0,0,0,0,0,15,225,462
959,C1,42,22,2,7,2,11,59,17,6,3,25,8,0,0,1,0,4,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,2,1,1,0,12,234,461
Totales,,9546,1654,911,641,284,924,11632,1710,2541,621,2242,718,644,476,95,30,11,213,82,40,39,5,9,296,754,104,46,47,54,144,149,43,74,31,14,0,1293,38117,67404
