id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI-PVEM,PRD,PT,PC,No Registrados,Nulos,Total
16,14/11/2004,12,Ayuntamientos,16,0,1,E,Extraordinaria,0,28,Churintzio,143,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,417,2,7,32,0,0,0,1,42
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,29,Churumuco,652,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,422,13,130,329,0,0,0,4,476
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,29,Churumuco,645,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,432,0,290,253,0,0,0,4,547
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,30,Ecuandureo,524,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,433,3,102,175,0,0,0,1,281
16,14/11/2004,12,Ayuntamientos,16,0,1,E,Extraordinaria,0,50,Lazaro Cardenas,159,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,832,5,34,23,0,0,0,1,63
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,50,Lazaro Cardenas,582,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,835,39,68,66,4,0,0,8,185
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,50,Lazaro Cardenas,652,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,844,10,67,102,6,0,0,8,193
16,14/11/2004,12,Ayuntamientos,16,0,2,C,Contigua,0,50,Lazaro Cardenas,562,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,846,14,109,77,7,0,0,2,209
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,50,Lazaro Cardenas,519,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,848,13,99,67,7,0,0,2,188
16,14/11/2004,12,Ayuntamientos,16,0,2,C,Contigua,0,50,Lazaro Cardenas,519,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,848,9,72,83,3,0,0,5,172
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,50,Lazaro Cardenas,654,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,849,7,70,113,8,0,0,0,198
