CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,84,TALA,2187,C,1,0,C01,10,73,3,10,4,136,5,88,4,0,0,0,0,333,0,11,344,568,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2187,C,2,0,C02,14,70,1,12,9,107,9,86,3,1,0,0,0,312,0,2,314,567,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2187,C,3,0,C03,8,71,2,14,5,108,8,82,1,2,0,0,2,303,0,9,312,567,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2188,B,1,0,B,10,77,3,15,8,109,7,73,3,0,0,0,0,305,0,8,313,566,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2188,C,1,0,C01,11,84,4,5,5,113,5,77,2,0,0,0,0,306,0,12,318,566,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2189,B,1,0,B,13,110,6,15,10,142,8,92,5,2,0,2,0,405,0,13,418,705,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2189,C,1,0,C01,11,71,3,18,9,141,0,97,5,0,3,0,0,358,0,9,367,704,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2189,C,2,0,C02,14,78,1,12,3,134,6,108,7,1,1,0,1,366,0,14,380,704,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2190,B,1,0,B,13,85,3,11,5,129,8,116,3,2,1,0,0,376,0,7,383,696,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2190,C,1,0,C01,16,73,2,19,14,117,7,91,3,0,0,0,0,342,0,0,342,695,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2191,B,1,0,B,8,48,2,8,1,142,9,122,0,0,0,0,0,340,0,8,348,545,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2191,C,1,0,C01,9,47,2,8,4,162,6,89,2,0,0,0,0,329,0,10,339,544,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2192,B,1,0,B,17,78,2,12,0,212,22,85,7,0,0,0,0,435,0,12,447,750,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2193,B,1,0,B,13,78,1,8,5,179,8,85,4,1,0,0,1,383,0,6,389,609,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2193,C,1,0,C01,14,83,1,7,6,204,8,81,2,0,1,0,0,407,0,15,422,609,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2194,B,1,0,B,11,73,2,6,8,151,14,92,2,0,0,0,0,359,0,15,374,564,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2194,C,1,0,C01,12,67,2,8,0,156,8,0,0,0,0,0,103,356,0,8,364,564,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2194,C,2,0,C02,6,70,1,3,7,169,4,65,2,0,0,0,0,327,0,10,337,563,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2195,B,1,0,B,12,78,1,5,2,131,7,46,1,0,0,0,0,283,0,7,290,395,ACTA CASILLA,,,
