CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0840,2,199,144,7,6,0,8,11,5,5,1,0,0,0,2,2,388,9,399,898
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0841,2,221,156,3,3,1,13,6,6,9,0,2,0,0,3,0,423,8,431,841
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0842,2,230,187,1,6,1,21,5,6,7,0,2,0,0,2,0,468,6,474,969
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0843,2,187,119,3,2,2,7,2,3,8,1,0,0,0,0,0,334,11,345,765
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0844,2,300,181,6,3,1,18,6,9,3,0,0,0,0,3,0,530,3,533,1110
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0845,2,202,181,10,4,2,12,5,4,11,0,3,0,0,4,0,438,7,445,907
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0846,1,190,128,4,3,0,2,1,10,2,0,0,0,0,4,0,344,3,347,728
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0847,2,192,160,7,0,1,13,3,7,4,0,0,0,0,4,0,391,7,398,887
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0848,2,284,195,8,7,2,19,5,7,2,0,5,1,0,4,0,539,12,551,1144
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0849,2,189,161,5,2,0,13,7,6,2,0,0,0,0,5,0,390,6,396,834
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0850,1,134,128,7,3,0,7,10,4,0,0,0,0,0,1,0,294,6,300,625
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0851,1,84,53,1,2,1,2,4,2,2,0,0,0,0,0,0,151,3,154,299
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0852,3,595,417,10,4,2,28,5,10,0,3,1,1,0,9,1,1085,17,1003,1935
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0853,3,494,307,7,7,2,43,5,12,8,2,1,0,0,12,0,900,4,904,1700
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0854,3,495,292,10,4,3,32,10,10,7,0,1,0,0,4,0,868,18,886,1706
