CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,322,B,4,41,9,4,2,0,0,54,0,0,0,0,0,0,,,,,,0,114,2,116,152,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,324,B,12,80,34,26,3,3,2,46,18,3,0,0,0,0,,,,,,0,227,10,237,358,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,325,B,8,121,19,12,6,4,8,93,27,0,0,1,0,0,,,,,,0,299,6,305,435,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,326,B,5,96,3,7,3,1,1,3,2,1,0,1,0,0,,,,,,0,123,6,129,257,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,327,B,3,73,6,2,0,0,1,2,4,4,0,0,0,0,,,,,,0,95,1,96,174,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,330,B,10,115,6,12,2,4,3,54,13,1,,,,,1,,,,9,0,230,9,239,405,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,331,B,4,24,7,2,1,0,0,29,2,0,,,,,0,,,,3,0,72,3,75,106,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,332,B,3,33,3,6,4,1,1,72,1,0,,,,,0,,,,2,0,126,2,128,176,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,333,B,3,19,13,20,34,1,2,44,14,0,0,1,0,0,,,,,,0,151,15,166,237,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,334,B,3,41,8,24,3,1,4,23,4,0,0,0,0,0,,,,,,0,111,12,123,182,ACTA CASILLA,,,
