id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PRI-PANAL,NoRegistrados,Nulos,TOTAL
27,18/10/2009,11,Regidores,27,9,736,1,B,Basica,0,HUIMANGUILLO,,8,HUIMANGUILLO,1209,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,50,257,123,11,5,1,2,0,0,9,458
27,18/10/2009,11,Regidores,27,7,623,1,C,Contigua,0,CUNDUACAN,,6,CUNDUACAN,937,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,0,117,188,2,0,1,3,0,311,0,622
27,18/10/2009,11,Regidores,27,11,831,1,C,Contigua,0,JALPA DE MENDEZ,,10,JALPA DE MENDEZ,922,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,57,110,86,104,2,13,5,6,0,9,392
27,18/10/2009,11,Regidores,27,11,832,2,C,Contigua,0,JALPA DE MENDEZ,,10,JALPA DE MENDEZ,1661,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,24,119,142,128,1,6,6,4,0,10,440
27,18/10/2009,11,Regidores,27,7,634,1,B,Basica,0,CUNDUACAN,,6,CUNDUACAN,1220,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,7,157,154,4,5,0,4,0,0,19,350
27,18/10/2009,11,Regidores,27,7,651,1,B,Basica,0,CUNDUACAN,,6,CUNDUACAN,1166,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2,66,168,10,4,1,14,3,0,21,289
27,18/10/2009,11,Regidores,27,7,651,1,E,Extraordinaria,0,CUNDUACAN,,6,CUNDUACAN,1166,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,7,73,120,1,2,0,3,0,0,10,216
27,18/10/2009,11,Regidores,27,9,743,2,C,Contigua,0,HUIMANGUILLO,,8,HUIMANGUILLO,1754,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,75,132,139,34,1,1,15,1,0,11,409
27,18/10/2009,11,Regidores,27,11,839,1,B,Basica,0,JALPA DE MENDEZ,,10,JALPA DE MENDEZ,1706,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,96,128,114,68,5,3,5,4,0,13,436
27,18/10/2009,11,Regidores,27,11,839,1,C,Contigua,0,JALPA DE MENDEZ,,10,JALPA DE MENDEZ,1706,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,80,163,86,81,4,18,6,1,0,9,448
